EntrezGene.ID	Associated.Gene.Name	Transcript.Start..bp.	Chromosome.Name
NA	AB019439.1-2	105792324	chr14
NA	IGHV@	105796244	chr14
NA	AB019439.1-3	105804187	chr14
NA	AB019439.1-4	105828694	chr14
NA	AB019439.1-5	105851556	chr14
   652494	AB019439.1-6	105862048	chr14
NA	AB019439.1-7	105876252	chr14
NA	AB019439.1-8	105886765	chr14
NA	AB019439.1-9	105900637	chr14
NA	AB019439.1-10	105916366	chr14
NA	AB019439.1-11	105937450	chr14
NA	AB019439.1-12	105948662	chr14
NA	AB019438.1-1	105997232	chr14
NA	AB019438.1-2	106033974	chr14
NA	AB019438.1-3	106038092	chr14
NA	AB019438.1-4	106045551	chr14
NA	AB019438.1-5	106064857	chr14
NA	AB019438.1-6	106083981	chr14
NA	AB019438.1-7	106105772	chr14
NA	AB019438.1-8	106119715	chr14
NA	AB019438.1-9	106149416	chr14
NA	AB019438.1-10	106154299	chr14
100134331	AB019437.1-1	106166169	chr14
NA	AB019437.1-2	106184784	chr14
NA	AB019437.1-4	106202076	chr14
100133862	IGHV1-69	106240967	chr14
100131845	AB019437.1-5	106249864	chr14
NA	AB019437.1-6	106269975	chr14
NA	AB019437.1-7	106281975	chr14
NA	AB019437.1-8	106289719	chr14
NA	AB019437.1-10	106330373	chr14
NA	IGHV7-81	106353835	chr14
 28299	IGKC	 88937989	chr2
NA	IGKV4-1	 88966203	chr2
NA	AC096579.1-6	 88977926	chr2
NA	IGKV1-5	 89027932	chr2
NA	IGKC	 89046894	chr2
   440871	AC096767.3-2	 89059100	chr2
NA	IGKC	 89073041	chr2
   652493	IGKC	 89090592	chr2
NA	AC096767.3-3	 89107781	chr2
NA	IGKC	 89120834	chr2
NA	AC116654.4-1	 89165786	chr2
NA	AC116654.4-2	 89180465	chr2
NA	IGKC	 89197946	chr2
NA	AC116654.4-4	 89223170	chr2
NA	AC110080.2-2	 89240348	chr2
NA	IGKV2-24	 89256925	chr2
   650405	AC110080.2-3	 89294021	chr2
NA	IGKV1-5	 89302292	chr2
NA	AC110080.2-4	 89325377	chr2
NA	AC110080.2-5	 89348871	chr2
NA	AC110080.2-6	 89378134	chr2
NA	AC110080.2-7	 89400496	chr2
NA	AC110080.2-8	 89410986	chr2
NA	AC009958.3-1	 89589921	chr2
   651751	AC009958.3-2	 89613009	chr2
NA	AC009958.3-3	 89623657	chr2
NA	AC009958.3-5	 89662063	chr2
NA	AC009958.3-6	 89680942	chr2
NA	AC009958.3-7	 89715082	chr2
NA	AC009958.3-8	 89745835	chr2
   647506	AC009958.3-9	 89758963	chr2
NA	IGKC	 89776410	chr2
NA	AC073416.8-2	 89791050	chr2
NA	AC073416.8-3	 89830253	chr2
NA	IGKC	 89836021	chr2
NA	AC073416.8-5	 89849045	chr2
NA	AC073416.8-6	 89866370	chr2
NA	AC073416.8-7	 89886225	chr2
NA	AC073416.8-8	 89897079	chr2
NA	AC113612.3-1	 89911009	chr2
NA	U66059.1-2	141647309	chr7
NA	U66059.1-3	141654907	chr7
NA	U66059.1-4	141659531	chr7
NA	U66059.1-5	141667379	chr7
NA	U66059.1-6	141674660	chr7
NA	U66059.1-7	141678521	chr7
NA	U66059.1-8	141691835	chr7
   642231	U66059.1-9	141695655	chr7
   647343	U66059.1-9	141695655	chr7
NA	U66059.1-10	141709095	chr7
NA	U66059.1-11	141717336	chr7
NA	U66059.1-12	141720969	chr7
NA	U66059.1-13	141749279	chr7
NA	U66059.1-14	141752850	chr7
NA	U66059.1-15	141757668	chr7
NA	U66059.1-16	141760404	chr7
NA	U66059.1-17	141768395	chr7
NA	U66059.1-18	141776154	chr7
NA	U66059.1-19	141793461	chr7
NA	U66059.1-20	141802421	chr7
NA	U66060.1-1	141819478	chr7
NA	U66060.1-2	141823636	chr7
NA	TRBV5-4	141831583	chr7
NA	U66060.1-3	141838053	chr7
NA	U66060.1-4	141851028	chr7
NA	U66060.1-5	141856336	chr7
NA	U66060.1-6	141860651	chr7
NA	U66060.1-7	141868540	chr7
NA	U66060.1-8	141875852	chr7
NA	U66060.1-9	141880094	chr7
NA	U66060.1-10	141888557	chr7
NA	U66060.1-11	141895863	chr7
NA	U66060.1-12	141900477	chr7
NA	U66060.1-13	141908693	chr7
NA	TRB@	141917894	chr7
NA	U66060.1-14	141924413	chr7
NA	U66060.1-15	141932825	chr7
NA	U66060.1-16	141943473	chr7
NA	U66060.1-17	141949075	chr7
NA	U66060.1-18	141952398	chr7
NA	U66060.1-19	141969589	chr7
NA	U66060.1-20	141976532	chr7
NA	U66060.1-21	141981607	chr7
NA	U66060.1-22	141990232	chr7
NA	U66060.1-23	142004303	chr7
NA	U66061.1-1	142007563	chr7
NA	U66061.1-2	142015233	chr7
NA	U66061.1-3	142025416	chr7
NA	U66061.1-4	142034456	chr7
NA	U66061.1-5	142043797	chr7
NA	U66061.1-8	142058172	chr7
NA	U66061.1-9	142102795	chr7
NA	U66061.1-10	142108085	chr7
NA	U66061.1-11	142127703	chr7
 28568	TRBV19	142199506	chr7
NA	TRBV7-2	142208852	chr7
NA	U66061.1-28	142220395	chr7
 64783	RBM15	110678039	chr1
NA	RBM15	110682651	chr1
    64783	RBM15	110682651	chr1
NA	MAP3K6	 27554396	chr1
NA	MAP3K6	 27554292	chr1
     9064	MAP3K6	 27554257	chr1
     9064	MAP3K6	 27554267	chr1
    79501	OR4F5	    58954	chr1
    81399	OR4F29	   357522	chr1
    26683	OR4F29	   357522	chr1
   729759	OR4F29	   357522	chr1
    81399	OR4F16	   610959	chr1
    26683	OR4F16	   610959	chr1
   729759	OR4F16	   610959	chr1
NA	AL669831.13-3	   711183	chr1
   400728	FAM87B	   742614	chr1
NA	SAMD11	   850393	chr1
   148398	SAMD11	   850984	chr1
 26155	NOC2L	   869459	chr1
100133473	NOC2L	   869459	chr1
   339451	KLHL17	   885830	chr1
NA	PLEKHN1	   891740	chr1
    84069	PLEKHN1	   891740	chr1
NA	C1orf170	   900447	chr1
    57801	HES4	   924208	chr1
  9636	ISG15	   938742	chr1
   375790	AGRN	   945366	chr1
NA	AGRN	   945366	chr1
NA	AL390719.47-1	   988308	chr1
NA	AL390719.47-2	  1007068	chr1
NA	C1orf159	  1007068	chr1
NA	C1orf159	  1007061	chr1
    54991	C1orf159	  1007066	chr1
NA	C1orf159	  1007478	chr1
    54991	C1orf159	  1007943	chr1
100132716	AL390719.47-3	  1098299	chr1
   254173	TTLL10	  1099149	chr1
NA	TTLL10	  1099146	chr1
   254173	TTLL10	  1104940	chr1
     8784	TNFRSF18	  1128752	chr1
     8784	TNFRSF18	  1129087	chr1
  7293	TNFRSF4	  1136583	chr1
NA	TNFRSF4	  1136583	chr1
    51150	SDF4	  1142755	chr1
    51150	SDF4	  1142177	chr1
NA	SDF4	  1142177	chr1
   126792	B3GALT6	  1157492	chr1
   388581	FAM132A	  1167696	chr1
   118424	UBE2J2	  1180145	chr1
   118424	UBE2J2	  1179157	chr1
   118424	UBE2J2	  1180407	chr1
NA	SCNN1D	  1207408	chr1
     6339	SCNN1D	  1204310	chr1
     6339	SCNN1D	  1207352	chr1
NA	SCNN1D	  1204310	chr1
NA	SCNN1D	  1209268	chr1
     6339	SCNN1D	  1205831	chr1
   116983	ACAP3	  1217635	chr1
NA	ACAP3	  1217635	chr1
NA	ACAP3	  1217633	chr1
NA	ACAP3	  1218113	chr1
   126789	PUSL1	  1233857	chr1
NA	CPSF3L	  1236841	chr1
    54973	CPSF3L	  1236828	chr1
    80772	GLTPD1	  1250006	chr1
NA	AL139287.24	  1250006	chr1
    83756	TAS1R3	  1256589	chr1
  1855	DVL1	  1260522	chr1
NA	DVL1	  1260522	chr1
NA	MXRA8	  1277935	chr1
    54587	MXRA8	  1277935	chr1
 54998	AURKAIP1	  1298973	chr1
    54998	AURKAIP1	  1298975	chr1
    54998	AURKAIP1	  1298980	chr1
727877	CCNL2	  1311738	chr1
    81669	CCNL2	  1317531	chr1
 55052	MRPL20	  1327164	chr1
   642393	MRPL20	  1327164	chr1
   643965	AL391244.11-1	  1351371	chr1
    64856	VWA1	  1360772	chr1
    64856	VWA1	  1360959	chr1
NA	ATAD3C	  1374932	chr1
NA	ATAD3B	  1397006	chr1
    83858	ATAD3B	  1397006	chr1
NA	ATAD3B	  1404292	chr1
    55210	ATAD3A	  1437418	chr1
NA	ATAD3A	  1437394	chr1
NA	ATAD3A	  1437774	chr1
NA	ATAD3A	  1437418	chr1
NA	C1orf70	  1460429	chr1
    29101	SSU72	  1466917	chr1
NA	SSU72	  1466917	chr1
NA	SSU72	  1469881	chr1
NA	SSU72	  1487595	chr1
NA	MIB2	  1540747	chr1
   142678	MIB2	  1540747	chr1
NA	MIB2	  1540736	chr1
NA	MIB2	  1542803	chr1
NA	MIB2	  1541148	chr1
     8510	MMP23B	  1557423	chr1
NA	MMP23B	  1557421	chr1
      984	AL691432.53	  1560963	chr1
NA	AL691432.53	  1560963	chr1
NA	AL691432.53	  1578277	chr1
   728661	RP11-345P4.4	  1585591	chr1
   728661	RP11-345P4.4	  1582802	chr1
   728661	RP11-345P4.4	  1582803	chr1
NA	AL031282.1	  1557423	chr1
NA	AL031282.1	  1621661	chr1
   985	CDC2L2	  1624206	chr1
      984	CDC2L2	  1624180	chr1
   728642	CDC2L2	  1624180	chr1
100133692	CDC2L2	  1624180	chr1
      984	CDC2L2	  1624206	chr1
      984	CDC2L2	  1624029	chr1
NA	CDC2L2	  1624206	chr1
NA	CDC2L2	  1637651	chr1
728661	SLC35E2	  1646713	chr1
NA	SLC35E2	  1646137	chr1
     9906	SLC35E2	  1653541	chr1
 65220	NADK	  1672538	chr1
NA	NADK	  1672538	chr1
NA	NADK	  1672531	chr1
    65220	NADK	  1672531	chr1
NA	NADK	  1673770	chr1
NA	NADK	  1678137	chr1
  2782	GNB1	  1706590	chr1
     2782	GNB1	  1706590	chr1
NA	CALML6	  1836126	chr1
   163688	CALML6	  1836126	chr1
   339456	TMEM52	  1838890	chr1
NA	TMEM52	  1838889	chr1
NA	TMEM52	  1839252	chr1
   339457	C1orf222	  1843260	chr1
    85452	KIAA1751	  1874612	chr1
NA	KIAA1751	  1904970	chr1
NA	KIAA1751	  1909423	chr1
     2563	GABRD	  1940703	chr1
  5590	PRKCZ	  1971769	chr1
NA	PRKCZ	  1971769	chr1
     5590	PRKCZ	  2026015	chr1
     5590	PRKCZ	  1994946	chr1
NA	AL590822.36	  2103093	chr1
NA	C1orf86	  2105777	chr1
100129828	C1orf86	  2105777	chr1
NA	C1orf86	  2106474	chr1
NA	C1orf86	  2108457	chr1
NA	C1orf86	  2110850	chr1
   199990	C1orf86	  2110847	chr1
NA	C1orf86	  2110847	chr1
     6497	SKI	  2149994	chr1
    79906	MORN1	  2242556	chr1
NA	MORN1	  2276747	chr1
NA	MORN1	  2293101	chr1
NA	MORN1	  2300358	chr1
 11079	RER1	  2313074	chr1
NA	RER1	  2313139	chr1
NA	RER1	  2313127	chr1
NA	RER1	  2313189	chr1
  5192	PEX10	  2326103	chr1
NA	PLCH2	  2397614	chr1
     9651	PLCH2	  2397614	chr1
NA	PLCH2	  2399775	chr1
NA	PLCH2	  2400389	chr1
NA	PLCH2	  2401187	chr1
 55229	PANK4	  2429835	chr1
   388585	HES5	  2450046	chr1
  8764	TNFRSF14	  2479153	chr1
NA	TNFRSF14	  2481261	chr1
   127281	C1orf93	  2508097	chr1
NA	C1orf93	  2508097	chr1
NA	MMEL1	  2511941	chr1
    79258	MMEL1	  2511941	chr1
   391205	AL831784.17	  2562667	chr1
   140625	ACTRT2	  2927906	chr1
NA	AL592464.24	  2775209	chr1
100129346	AL008733.10	  2970496	chr1
   647868	PRDM16	  2975604	chr1
    63976	PRDM16	  2975684	chr1
   647868	PRDM16	  2975684	chr1
   647868	PRDM16	  2975621	chr1
    63976	PRDM16	  2975640	chr1
   647868	PRDM16	  2975640	chr1
    27237	ARHGEF16	  3361100	chr1
NA	ARHGEF16	  3361100	chr1
NA	ARHGEF16	  3372429	chr1
NA	ARHGEF16	  3373395	chr1
     1953	MEGF6	  3394373	chr1
NA	MEGF6	  3394373	chr1
NA	TPRG1L	  3531439	chr1
   127262	TPRG1L	  3531416	chr1
 49856	WDR8	  3537200	chr1
NA	WDR8	  3537191	chr1
NA	WDR8	  3537200	chr1
NA	TP73	  3558989	chr1
     7161	TP73	  3558989	chr1
     7161	TP73	  3597330	chr1
     7161	TP73	  3597096	chr1
   148870	CCDC27	  3658822	chr1
 57470	LRRC47	  3686644	chr1
  9731	KIAA0562	  3721204	chr1
NA	KIAA0562	  3721204	chr1
NA	KIAA0562	  3749579	chr1
  1677	DFFB	  3763705	chr1
NA	DFFB	  3763705	chr1
NA	DFFB	  3763897	chr1
NA	DFFB	  3763941	chr1
339448	C1orf174	  3795563	chr1
NA	C1orf174	  3795563	chr1
    55966	AJAP1	  4614965	chr1
   261734	NPHP4	  5845457	chr1
NA	NPHP4	  5845465	chr1
NA	NPHP4	  5845458	chr1
NA	NPHP4	  5862152	chr1
NA	NPHP4	  5871225	chr1
  8514	KCNAB2	  6008967	chr1
NA	KCNAB2	  5974113	chr1
     8514	KCNAB2	  6008967	chr1
     8514	KCNAB2	  5975010	chr1
     8514	KCNAB2	  5975348	chr1
     8514	KCNAB2	  6016930	chr1
NA	KCNAB2	  6034184	chr1
 26038	CHD5	  6084567	chr1
NA	CHD5	  6084440	chr1
NA	CHD5	  6087730	chr1
    26038	CHD5	  6084440	chr1
  6146	RPL22	  6167668	chr1
NA	C1orf188	  6188477	chr1
   388591	C1orf188	  6188823	chr1
NA	C1orf188	  6188776	chr1
NA	C1orf188	  6191507	chr1
 23463	ICMT	  6203840	chr1
NA	ICMT	  6217092	chr1
   390992	HES3	  6226849	chr1
387509	GPR153	  6231443	chr1
NA	GPR153	  6229993	chr1
 11332	ACOT7	  6246920	chr1
NA	ACOT7	  6246920	chr1
NA	ACOT7	  6277425	chr1
NA	HES2	  6395840	chr1
NA	HES2	  6395065	chr1
    54626	HES2	  6397906	chr1
    83715	ESPN	  6407435	chr1
 57449	TNFRSF25	  6443798	chr1
NA	PLEKHG5	  6448739	chr1
    57449	PLEKHG5	  6448739	chr1
NA	PLEKHG5	  6449769	chr1
    57449	PLEKHG5	  6449769	chr1
NA	PLEKHG5	  6450490	chr1
 79707	NOL9	  6507809	chr1
    80835	TAS1R1	  6538021	chr1
     3104	ZBTB48	  6562698	chr1
     3104	ZBTB48	  6562643	chr1
  9903	KLHL21	  6573372	chr1
NA	KLHL21	  6573371	chr1
   148479	PHF13	  6596332	chr1
    90326	THAP3	  6607839	chr1
NA	THAP3	  6607842	chr1
NA	THAP3	  6607513	chr1
NA	THAP3	  6607828	chr1
 55735	DNAJC11	  6617173	chr1
NA	DNAJC11	  6616818	chr1
    55735	DNAJC11	  6616818	chr1
 23261	CAMTA1	  6767971	chr1
NA	CAMTA1	  6802828	chr1
NA	CAMTA1	  7450475	chr1
  9341	VAMP3	  7753916	chr1
     9341	VAMP3	  7753916	chr1
  8863	PER3	  7767350	chr1
     8863	PER3	  7767350	chr1
NA	PER3	  7766967	chr1
 10911	UTS2	  7825730	chr1
NA	UTS2	  7829045	chr1
    10911	UTS2	  7830262	chr1
  3604	TNFRSF9	  7902495	chr1
 11315	PARK7	  7944380	chr1
    11315	PARK7	  7944348	chr1
    11315	PARK7	  7944541	chr1
    11315	PARK7	  7944616	chr1
    54206	ERRFI1	  7994382	chr1
    50651	SLC45A1	  8300756	chr1
    50651	SLC45A1	  8306977	chr1
   473	RERE	  8335055	chr1
      473	RERE	  8335053	chr1
  2023	ENO1	  8843650	chr1
   765	CA6	  8928509	chr1
      765	CA6	  8928509	chr1
NA	SLC2A7	  8985946	chr1
   155184	SLC2A7	  8985946	chr1
  6518	SLC2A5	  9019594	chr1
     6518	SLC2A5	  9022726	chr1
 80045	GPR157	  9086668	chr1
NA	GPR157	  9086668	chr1
  9563	H6PD	  9217450	chr1
    80176	SPSB1	  9275571	chr1
    80176	SPSB1	  9334077	chr1
    80176	SPSB1	  9338353	chr1
    84275	SLC25A33	  9522115	chr1
NA	TMEM201	  9571564	chr1
   199953	TMEM201	  9571564	chr1
NA	C1orf200	  9635266	chr1
  5293	PIK3CD	  9693101	chr1
     5293	PIK3CD	  9634377	chr1
NA	PIK3CD	  9692843	chr1
 22883	CLSTN1	  9711667	chr1
    22883	CLSTN1	  9711667	chr1
 56998	CTNNBIP1	  9830921	chr1
    56998	CTNNBIP1	  9832755	chr1
    56998	CTNNBIP1	  9833095	chr1
    56998	CTNNBIP1	  9833304	chr1
    84328	LZIC	  9912260	chr1
    84328	LZIC	  9911584	chr1
    84328	LZIC	  9912898	chr1
    64802	NMNAT1	  9926073	chr1
NA	NMNAT1	  9926073	chr1
NA	NMNAT1	  9926095	chr1
NA	RBP7	  9979849	chr1
   116362	RBP7	  9979861	chr1
NA	RBP7	  9989613	chr1
NA	RBP7	  9979851	chr1
 10277	UBE4B	 10015603	chr1
NA	UBE4B	 10015919	chr1
NA	UBE4B	 10054259	chr1
NA	UBE4B	 10015603	chr1
 23095	KIF1B	 10214895	chr1
    23095	KIF1B	 10193418	chr1
NA	KIF1B	 10193418	chr1
NA	KIF1B	 10194261	chr1
    23095	KIF1B	 10214893	chr1
    23095	KIF1B	 10213409	chr1
  5226	PGD	 10381668	chr1
     5226	PGD	 10381713	chr1
378708	APITD1	 10412746	chr1
NA	APITD1	 10412746	chr1
   378708	APITD1	 10413387	chr1
     1325	APITD1	 10432718	chr1
  1676	DFFA	 10443192	chr1
  5195	PEX14	 10457590	chr1
    54897	CASZ1	 10619267	chr1
    54897	CASZ1	 10629857	chr1
NA	CASZ1	 10629856	chr1
   148345	C1orf127	 10929120	chr1
NA	C1orf127	 10929374	chr1
 23435	TARDBP	 10995315	chr1
NA	TARDBP	 10996360	chr1
    23435	TARDBP	 10995266	chr1
NA	MASP2	 11008649	chr1
    10747	MASP2	 11009168	chr1
    10747	MASP2	 11009411	chr1
    10747	MASP2	 11027584	chr1
  6723	SRM	 11037236	chr1
NA	AC118459.2-2	 69626610	chrc5_H2
   440748	AL109844.14-1	    93088	chrNT_113874
100132966	AL109844.14-1	    93088	chrNT_113874
100133081	AL109844.14-1	    93088	chrNT_113874
100133230	AL109844.14-1	    93088	chrNT_113874
NA	CR382287.6-2	   107280	chrNT_113956
     1231	U95626.1-1	    42448	chrNT_113884
   729230	U95626.1-1	    42448	chrNT_113884
NA	AC145081.1-1	    21492	chrNT_113939
    83755	AC037482.14-4	     4229	chrNT_113931
      335	AC087065.4-1	    13733	chrNT_113960
NA	AC139687.2-1	    10362	chrNT_113927
     8447	DOC2B	    17840	chrNT_113933
NA	CR382287.6-3	   110575	chrNT_113956
NA	AC011043.4-3	    30870	chrNT_113901
   653573	FAM72D	    94675	chrNT_113874
NA	AC139687.2-2	    34293	chrNT_113927
NA	AL133414.4-1	     7897	chrNT_113949
100132181	AC011043.4-4	    44724	chrNT_113901
  5394	EXOSC10	 11049268	chr1
NA	AC011043.4-5	   145270	chrNT_113901
NA	AC129894.9-1	    50764	chrNT_113933
    85282	AC037482.14-5	    10022	chrNT_113931
NA	AC139687.2-3	    55381	chrNT_113927
     3838	AC145081.1-2	   103260	chrNT_113939
   728860	AC145081.1-2	   103260	chrNT_113939
NA	AC132010.21-2	    21503	chrNT_113964
100132288	AC145212.1-2	    53594	chrNT_113888
NA	CR381670.5-1	    53818	chrNT_113954
    64109	CRLF2	    20945	chrNT_113966
   653560	CRLF2	    20945	chrNT_113966
NA	AC026283.2-1	    23792	chrNT_113871
   653486	AC129894.9-2	    58946	chrNT_113933
100130477	AC129894.9-2	    58946	chrNT_113933
   644644	AC132010.21-3	    74613	chrNT_113964
NA	AC139687.2-4	    80779	chrNT_113927
100129221	AC011043.4-6	   163709	chrNT_113901
     1234	U95626.1-2	    58727	chrNT_113884
   727797	U95626.1-2	    58727	chrNT_113884
   729427	AL732359.26-2	   654107	chrNT_113898
    55629	BX511012.5-1	    29663	chrNT_113878
100131261	BX511012.5-1	    29663	chrNT_113878
100132235	BX511012.5-1	    29663	chrNT_113878
   727748	AC142402.2-1	     2422	chrNT_113906
NA	AC037482.14-6	    26371	chrNT_113931
NA	AC026283.2-2	    24885	chrNT_113871
   644670	AC079036.44-1	    28825	chrNT_113962
   728668	AC079036.44-1	    28825	chrNT_113962
NA	AC037482.14-7	    30603	chrNT_113931
NA	AC139687.2-5	    81416	chrNT_113927
NA	AC011645.3-2	    35367	chrNT_113870
100132288	CR392039.8-2	    14922	chrNT_113958
NA	AC132010.21-4	    93766	chrNT_113964
NA	BX284653.17-2	     8965	chrNT_113899
    51078	AC133781.4-1	     1617	chrNT_113880
   728944	AC133781.4-1	     1617	chrNT_113880
   727888	AC026283.2-3	    53817	chrNT_113871
     3081	AC009289.8-1	    18988	chrNT_113881
   727722	AC009289.8-1	    18988	chrNT_113881
100132552	AC009289.8-1	    18988	chrNT_113881
    85294	KRTAP2-3	    62755	chrNT_113931
   644350	KRTAP2-3	    62755	chrNT_113931
   728285	KRTAP2-3	    62755	chrNT_113931
   728934	KRTAP2-3	    62755	chrNT_113931
   730755	KRTAP2-3	    62755	chrNT_113931
   414060	AC139361.2-1	    15848	chrNT_113935
   653380	AC139361.2-1	    15848	chrNT_113935
   654341	AC139361.2-1	    15848	chrNT_113935
NA	BX276116.7-2	   175675	chrNT_113965
NA	AC132010.21-5	   128330	chrNT_113964
NA	BX284653.17-3	   119308	chrNT_113899
   644644	AC079036.44-2	    46059	chrNT_113962
100132288	AC145212.1-2	    53593	chrNT_113888
NA	AC026283.2-4	    71768	chrNT_113871
NA	CRLF2	    20948	chrNT_113966
   730015	AL732359.26-3	   667955	chrNT_113898
NA	AL163540.11-1	    86263	chrNT_113961
   644670	AC132010.21-6	   146487	chrNT_113964
   728668	AC132010.21-6	   146487	chrNT_113964
100129221	AC011841.7-3	    59574	chrNT_113930
NA	AC145205.2	    43956	chrNT_113943
NA	CR381535.11-1	    24567	chrNT_113951
NA	AC139536.2-1	    19685	chrNT_113926
   653053	AC011645.3-3	    50967	chrNT_113870
   729619	AC144526.2-1	    12146	chrNT_113902
   254958	REXO1L1	     7373	chrNT_113908
   401467	REXO1L1	     7373	chrNT_113908
   441359	REXO1L1	     7373	chrNT_113908
